1,0.021,0,0,0.03,0.081,0,0,0.028,0,0.088,0,0,0,0,0,0,0.091,0.029,0,1.757,0,0,0.003,0.11,0.11,0,0,0,0,0,0.093,0.03,0,0,0,0,0,0.052,0.074,0,0,0,0,0,0,0.075,0.057,0,0.152,1.597,0,0,0,0.086,0.045,0,0,0,0,0,0.01,0.111,0.013,0,0,0,0,0.04,0.094,0,0,0,0,0,0,0,0.048,0,1.687,0,0,0,0.04,0.088,0,0,0,0,0,0.097,0.035,0,0,0,0,0
2,0.12,0.716,1.098,0.133,0.133,0.0995,0.102,0.0985,0.103,0.1005,0.101,0.0985,0.127,0.101,0.099,0.098,0.0985,0.053,0.592,0.0675,0.0525,0.053,0.053,0.08,0.08,0.06,0.0575,0.0565,0.018,0.0095,0.01,0.042,0.019,0.019,0.01,0.01,0.0625,0.054,0.053,0.0965,0.098,0.269,0.1815,0.162,0.135,0.3245,0.2175,0.133,0.1355,0.135,0.154,0.1875,0.1845,0.184,0.17,0.134,0.191,0.181,0.166,0.576,0.403,0.134,0.1755,1.1275,2.0485,1.349,1.349,2.166,1.635,2.137,1.026,1.026,1.16,1.528,1.528,0.898,1.165,1.585,1.09,1.445,0.855,0.928,0.894,1.192,0.271,0.92,0.253,0.255,0.8405,0.288,0.258,0.989,0.55,0.6935,0.6935,0.7855
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.438,0.3921,0.9165,0.4059,0.6504,0.3768,0.3969,0.3996,0.3654,0.3954,0.3552,0.3558,0.375,0.4182,0.4014,0.7446,0.411,0.384,0.4146,0.576,0.6135,0.5964,0.5964,0.5643,0.5673,0.5856,0.6045,0.5772,0.5634,0.822,0.5934,0.5934,0.5676,0.5625,0.6915,1.0047,1.2822,0.9963,2.0292,2.1378,2.3256,2.331,2.331,2.358,1.0488,0.9123,0.594,0.5862,0.5562,0.5556,0.5802,0.8958,0.5778,0.558,0.7518,0.6768,0.5637,1.5237,1.6176,0.771,0.8982,1.0092,1.3284,0.6456,0.654,0.9234,0.9234,1.0128,1.0176,1.0386,1.0302,1.0302,1.0098,1.0176,1.0176,1.0383,1.3416,1.302,1.2462,0.7521,1.0368,1.0335,1.2822,1.056,1.0542,1.0218,0.993,0.9924,0.99,1.443,0.9603,0.9798,0.9822,0.954,0.954,1.0008
5,0.631,0.614,0.556,0.56,0.554,0.242,0.554,0.365,0.464,0.352,0.423,0.352,0.274,0.232,0.228,0.23,0.226,0.232,0.332,0.349,0.281,0.23,0.228,0.228,0.228,0.226,0.23,0.222,0.33,0.346,0.28,0.226,0.236,0.236,0.229,0.227,0.226,0.224,0.227,0.304,0.394,0.364,0.26,0.24,0.24,0.215,0.21,0.216,0.332,0.334,0.236,0.217,0.193,0.186,0.182,0.188,0.221,0.427,0.568,0.521,0.375,0.656,0.662,0.691,0.432,0.285,0.256,0.366,0.366,0.36,0.356,0.23,0.23,1.209,1.214,1.214,0.486,0.176,0.174,0.176,0.172,0.174,0.377,0.43,0.418,0.316,0.299,0.297,1.092,1.292,1.174,1.042,1.438,1.088,0.954,0.954
6,0.039,0.037,0.08,0.139,0.131,0.038,0.04,0.039,0.036,0.038,0.04,0.038,0.038,0.048,0.111,0.137,0.096,0.038,0.035,0.038,0.04,0.036,0.04,0.039,0.039,0.04,0.052,0.138,0.135,0.051,0.04,0.036,0.04,0.04,0.04,0.036,0.038,0.038,0.064,0.42,0.64,1.356,1.252,1.165,1.183,1.163,1.125,1.028,0.832,0.768,0.817,0.663,0.122,0.051,0.098,0.197,0.112,0.027,0.057,0.027,0.085,0.13,0.122,0.056,0.028,0.028,0.024,0.024,0.037,0.131,0.124,0.126,0.126,0.026,0.024,0.024,0.03,0.025,0.125,0.122,0.091,0.025,0.024,0.028,0.024,0.026,0.023,0.101,0.124,0.673,1.143,1.233,1.016,1.328,1.328,0.335
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.12,0.0948,0.1172,0.6712,1.1622,0.136,0.7945,0.1698,0.49,0.1608,0.2268,0.1713,0.131,0.1968,0.1308,0.1735,0.1542,0.171,0.0942,0.1868,0.1715,0.1268,0.1872,0.1372,0.1372,0.1815,0.131,0.1705,0.1427,0.1805,0.1278,0.141,0.1815,0.1815,0.1605,0.1635,0.1258,0.1705,0.1505,0.073,0.1178,0.042,0.03,0.0345,0.0272,0.0335,0.0335,0.057,0.042,0.0392,0.016,0.024,0.0265,0.0265,0.0118,0.0118,0.036,0.0173,0.0115,0.0115,0.0177,0.0202,0.0118,0.022,0.0115,0.03,0.03,0.0442,0.0298,0.0298,0.0332,0.018,0.012,0.0375,0.0127,0.012,0.0388,0.0118,0.012,0.039,0.0118,0.0385,0.0112,0.012,0.0118,0.0345,0.0115,0.0315,0.0182,0.0112,0.0112,0.0112,0.0118,0.0357,0.0115,0.0355
9,3.002,3.002,1.094,0.932,0.621,0.82,0.539,0.799,0.438,0.587,0.646,0.683,0.646,1.23,3.182,2.438,2.94,1.163,1.769,0.708,0.687,0.687,0.556,0.308,0.299,0.337,0.42,0.372,0.448,1.356,1.356,1.572,1.264,0.976,1.219,0.984,0.992,0.877,0.867,0.867,1.529,3.316,3.21,3.21,1.912,2.08,2.08,1.274,1.084,1.028,2.231,2.336,2.336,0.922,0.312,0.869,0.869,0.644,0.865,1.432,0.23,0.226,0.26,0.26,1.078,1.038,0.958,0.958,1.644,1.925,2.007,2.432,2.915,3.088,3.325,2.522,2.434,1.964,1.237,1.146,1.843,0.768,0.653,0.467,0.946,1.239,1.154,1.154,0.832,0.488,0.175,0.214,0.21,0.11,0.106,0.172
10,0.5856,0.2772,1.3212,1.3344,1.2588,1.2684,1.1244,1.2996,0.6324,0.6972,0.8988,0.294,0.2964,1.17,1.02,1.0224,0.6396,0.0876,0.1164,0.0792,0.0804,0.0948,0.0792,0.0852,0.0852,0.0708,0.0972,0.0516,0.0684,0.1044,0.0504,0.0684,0.0756,0.0756,0.0732,0.1488,0.0924,0.09,0.0888,0.0624,0.09,0.0624,0.0708,0.0672,0.0552,0.0444,0.0444,0.0648,0.102,0.1008,0.1116,0.102,0.1692,0.1692,0.396,0.2424,0.2943,0.2904,0.228,0.1644,0.1893,0.1404,0.1164,0.1236,0.1596,0.1596,1.02,0.4704,0.1464,0.1464,0.1116,0.1584,0.5532,1.1004,1.0308,0.9576,0.6072,0.63,0.6156,0.4716,0.9468,0.2844,1.2804,1.0776,0.6504,0.2688,0.2976,0.2976,0.2964,0.1068,0.1068,0.084,0.096,0.1008,0.1308,0.1308
